Municipio	CodIbge	AreaKm2	Desmatado	Floresta
Vale de São Domingos	5108352	2007	694.5	490.9
Marajá do Sena	2106359	833	693.6	113.7
Alto Alegre	1400050	25870	688.8	19979.7
Nova União	1101435	815	687.2	123.9
Jaciara	5104807	1657	686.2	13.1
Mirinzal	2106805	697	682.5	8.5
Urupá	1101708	840	680.6	60.6
Igarapé-Açu	1503200	789	680.1	0
Abaetetuba	1500107	1617	677.5	241.8
Altamira do Maranhão	2100402	677	677.5	0
Tucuruí	1508100	2094	676.5	875
Oeiras do Pará	1505205	3863	675.9	1571.4
Presidente Figueiredo	1303536	25567	663.3	21394.6
Colinas do Tocantins	1705508	848	662.4	4.2
Cruzeiro do Sul	1200203	8352	662	7634.8
Senador La Rocque	2111763	751	662	89
Santa Rita do Trivelato	5107768	3347	659.3	688.3
Carutapera	2102903	1267	651.6	339
São Luís Gonzaga do Maranhão	2111409	981	643	1
Jenipapo dos Vieiras	2105476	1522	642.1	707.4
Bujaru	1501907	1010	632.6	0
Buritirana	2102358	825	631.8	178.9
Humaitá	1301704	33431	628.1	28897.1
Conceição do Lago-Açu	2103554	836	625.3	0
Mirante da Serra	1101302	1206	619.4	370.7
Envira	1301506	13904	617.8	13153.6
Tefé	1304203	24187	605.9	22592.7
Concórdia do Pará	1502756	694	600.2	0
Poção de Pedras	2108900	663	588.9	0
Conquista D'oeste	5103361	2708	578.6	811.5
Senador José Porfírio	1507805	14388	575.3	13133.3
Diamantino	5103502	7640	574.4	1640.2
Cururupu	2103703	940	570.1	247.3
Iracema	1400282	14271	569.6	10790.3
Indiavaí	5104500	601	562.2	38.7
Olho d'Água das Cunhãs	2107407	562	562	0
Abel Figueiredo	1500131	617	558.9	57.9
Porto Franco	2109007	1427	554.3	96.4
Planalto da Serra	5106455	2451	553.5	41.3
Rio Preto da Eva	1303569	5839	549.4	5276.3
Presidente Sarney	2109270	732	548.9	87.2
Maracaçumé	2106326	635	539.6	95.4
Junco do Maranhão	2105658	543	530.2	12.3
Breves	1501808	9570	529.6	7072.8
Santa Isabel do Pará	1506500	719	528	0
Bonito	1501600	590	527.5	0
Satubinha	2111722	613	523.5	0.6
São Luiz	1400605	1537	511.9	1013.3
Lucas do Rio Verde	5105259	3663	511.3	653.9
Capanema	1502202	618	507.1	0
Borba	1300805	44453	501.7	41448.8
Riachinho	1718550	615	501	79.2
Bacuri	2101301	794	499.7	146.8
Mocajuba	1504604	874	489.9	109.1
Viana	2112803	1174	489.5	89.7
Manaquiri	1302553	4003	488.2	3120.4
Brejo de Areia	2102150	487	487.5	0
Joselândia	2105609	692	485.6	46.8
Ourém	1505403	566	485.4	0.4
São Felipe d'Oeste	1101484	546	484	62
Gonçalves Dias	2104404	888	481.1	279.1
Penalva	2108306	794	477.8	22.6
Ribamar Fiquene	2109551	907	476.9	73.9
Bequimão	2101905	779	467.6	54.1
Careiro da Várzea	1301159	2641	466.1	831.3
Tracuateua	1508035	856	461.3	108.8
Iranduba	1301852	2228	457.4	1309.2
São Mateus do Maranhão	2111508	792	456.4	0
São João da Baliza	1400506	4305	455.9	3807.2
Nhamundá	1303007	14135	455.4	11546.6
Bom Lugar	2102077	452	452.1	0
Esperantinópolis	2104008	486	448.9	1
Mãe do Rio	1504059	471	447.1	0
São Pedro da Água Branca	2111532	726	446.9	43.2
Igarapé-Miri	1503309	2003	445.6	804.1
Teixeirópolis	1101559	467	443.2	23.8
Palmeirândia	2107605	534	440.7	12.1
Presidente Médici	2109239	441	439.5	1.2
Rodrigues Alves	1200427	3491	438.8	2998.1
Primavera de Rondônia	1101476	610	421.6	95.6
Alto Paraguai	5100508	2054	421.3	120.8
Silves	1304005	3758	420.8	2581.3
Rio Branco	5107206	501	417.9	10.1
São Francisco do Pará	1507409	480	413.4	0
Santa Maria do Pará	1506609	460	411.7	0
Anajatuba	2100709	1132	410.6	57.4
Santa Inês	2109908	411	407.8	0
Codó	2103307	4434	404.4	1615.5
Campestre do Maranhão	2102556	618	404.2	49.5
Nova Olinda do Norte	1303106	5624	404	4503.9
Matões do Norte	2106631	793	401.4	0
Fortaleza do Tabocão	1708254	622	401.1	0.2
Augustinópolis	1702554	417	399.3	11.8
Arari	2101004	1116	395.4	57.9
São João do Carú	2111029	622	393.9	127.9
Marapanim	1504406	796	391.1	0
Chapada dos Guimarães	5103007	6204	381.2	139.1
Igarapé Grande	2105203	380	379.9	0.1
Porto Estrela	5106851	2066	378.9	224.4
Macapá	1600303	6420	376.4	1676.4
Lago Verde	2105906	466	376.4	0
Nova Timboteua	1505007	492	371.2	0
Guimarães	2104909	609	367.1	92.1
Arenápolis	5101308	413	366.6	46.4
Eirunepé	1301407	16471	364.8	15692.2
Porto Esperidião	5106828	5834	362.3	220.4
São Bento	2110500	462	360.1	0.8
Itaguatins	1710706	745	355.1	68.4
Peixe-Boi	1505601	454	353.7	0
Barão de Melgaço	5101605	11180	351.9	2221.1
São Luís	2111300	840	349.8	153.4
São Bento do Tocantins	1720101	1113	347.1	79.4
Amapá do Maranhão	2100550	446	345	101
Bonfim	1400159	8141	340.2	1575
Mâncio Lima	1200336	4947	337.9	4466
Presidente Kennedy	1718402	774	337.1	104.5
São Miguel do Tocantins	1720200	400	331.6	51.1
Nobres	5105903	3857	329.9	253.1
Urucará	1304302	28014	325.8	26526.5
Godofredo Viana	2104305	648	325.1	222.6
Inhangapi	1503408	475	323.6	0.2
Terra Santa	1507979	1900	323.4	717.2
Santo Antônio do Tauá	1507003	540	319.3	0
Maracanã	1504307	786	318.5	0.1
Miranorte	1713304	1037	318	10.9
Barcarena	1501303	1315	315.3	0
Boa Vista do Gurupi	2101970	405	313.8	86.2
