Municipio,CodIbge,Estado,Desmatado2010,Incremento20092010,Floresta2010,Nuvem2010,NaoObservado2010,NaoFloresta2010,Hidrografia2010
Nova Ipixuna,1504976,PA,1161,7.5,204.1,20.3,0.6,123.1,95.9
Sapucaia,1507755,PA,1158.8,0.1,143.2,0,0,0,0
Ananás,1701002,TO,1158.5,1.5,192.6,0,1.9,202.9,40.1
Juruti,1503903,PA,1155.8,7.4,5386.6,25.7,0.5,632.5,1105.9
Feijó,1200302,AC,1145.7,21.1,24016.5,17.3,61.6,0.4,6.5
Alto Boa Vista,5100359,MT,1145.6,3.7,519.7,0,0,576.7,0
Aveiro,1501006,PA,1140.4,18.2,13010.2,2202.7,3.5,18.3,718.9
Denise,5103452,MT,1140,0.2,158.1,0,0,5.9,0
Seringueiras,1101500,RO,1137.2,4.1,976.8,0,0,166,0
Salto do Céu,5107750,MT,1133.5,2.9,150.4,0,0,32.1,0
Parecis,1101450,RO,1124.1,2.8,959.6,0,0,483,0.3
Imperatriz,2105302,MA,1115.2,0.3,84,0,0,154.9,21.9
Cametá,1502103,PA,1111.4,13.8,869.4,0,0.1,658.4,450.7
Careiro,1301100,AM,1105.7,10.3,3929.7,689.8,0.6,80,320.2
Serrano do Maranhão,2111789,MA,1102.9,0.1,55.7,47.6,0,2.4,13.4
Vitorino Freire,2113009,MA,1087.6,0,0,0,0,43.6,0
Rorainópolis,1400472,RR,1082.2,16,19525.3,5014.5,5.7,7645,577.3
Trairão,1508050,PA,1079.5,26.7,10220.3,594,0.8,1.1,100.3
Rio Crespo,1100262,RO,1063.6,2.4,657.2,0,0,23.2,0
João Lisboa,2105500,MA,1057.6,0.8,75.5,0,0.9,0,0
Pau d'Arco,1716307,TO,1054.4,0.4,133.8,0,0,82.9,32.9
Coroatá,2103604,MA,1052.9,0,0,1019.2,226.2,0,0
Santo Antônio do Leverger,5107800,MT,1035.7,1,1107.8,0,0.3,10104.6,21.6
União do Sul,5108303,MT,1029.9,8.6,3529.2,0,2.1,21.8,0
Guaraí,1709302,TO,1020.7,2.2,173.7,0,0.1,1079.9,4.6
Brejo Grande do Araguaia,1501758,PA,1013.2,2.4,122.8,0,0.2,27.8,27
Governador Nunes Freire,2104677,MA,1012.4,0.2,28.9,5.4,0.3,0,0
Nova Olímpia,5106232,MT,1010.6,0.5,242.4,0,0,317,0
Aragominas,1701309,TO,1006.4,5.6,145.7,0,0.1,17.8,9
Jauru,5105002,MT,1005.7,0.7,100.6,0,0.3,114.4,0
Caracaraí,1400209,RR,981.7,19.1,23203.9,8555.3,8.4,14496.4,574.3
Prainha,1506005,PA,980,42.8,5957.8,1239.2,5.5,2867.5,1550
Santa Luzia d'Oeste,1100296,RO,973.6,0.6,215.6,17.8,0,0,0
Cabixi,1100031,RO,969.7,1.1,335.8,0,0.7,11.3,4.5
Vila Nova dos Martírios,2112852,MA,962.7,1,89.3,0,1.3,131.4,12.3
Nova Marilândia,5108857,MT,961.6,2.8,412.3,0,0.2,568.9,0
Parintins,1303403,AM,960.9,7.3,1583.7,1.1,0.5,1132.8,2282
Monção,2106904,MA,960.1,1.6,59.8,25.1,0.4,189.5,124.1
Muricilândia,1713957,TO,954.4,1.2,213.9,0,0,0,25.7
Santo Afonso,5107263,MT,953.3,2.9,214.1,0,0,4.6,0
Porto de Moz,1505908,PA,942.1,31.4,5844.6,6054.9,2.1,3133.9,1451.4
Paulo Ramos,2108108,MA,937.8,0,0,0,0,0,0
Mirassol d'Oeste,5105622,MT,937.2,1.6,105.5,0,0.2,34.1,0
Cândido Mendes,2102606,MA,933.4,10.4,393.8,219.9,0.3,83.4,117.2
Pau d'Arco,1505551,PA,931.1,1.1,331.8,0.9,0.3,410.9,0
Lambari d'Oeste,5105234,MT,929.5,0.8,236.5,0,0.7,170.8,0.5
Nova Guarita,5108808,MT,923.8,0.4,164.6,0,0,0,0.6
Caroebe,1400233,RR,923.3,19.7,9918.6,1177,6.6,12.8,83.7
Juscimeira,5105200,MT,920.4,0.1,37.6,0,0,1246.9,1.1
Nortelândia,5106000,MT,918.7,1.1,284.5,0,0,149.8,0
São João do Araguaia,1507508,PA,917.8,4.8,190.8,0,0.3,73.1,109
Canutama,1300904,AM,910.9,12,28009.6,69.7,5.9,991.4,295.5
Centro do Guilherme,2103158,MA,907.8,1.8,118.7,57.4,0.1,0,0
Alcântara,2100204,MA,907.8,0.1,83.4,94.2,0,72.2,344.4
Castanhal,1502400,PA,900,1.5,62.1,72.7,0.2,0,0
Novo Aripuanã,1303304,AM,899.7,20.5,35889.5,2276.7,28.5,1623.3,741.3
Acrelândia,1200013,AC,896.9,10.3,710.2,0,2.9,0,0
Bernardo Sayão,1703206,TO,893.7,0.1,23.2,0,0,0,13.1
Nova Brasilândia d'Oeste,1100148,RO,892.7,1.3,208,0,0,65.3,0
São Miguel do Guamá,1507607,PA,879.7,0.1,55.2,166.6,0.1,15.4,0
Itaporã do Tocantins,1711100,TO,877.2,0.3,46.3,0,0.5,0,0
Pinheiro,2108603,MA,873.5,0.5,52.8,35.9,0.1,415.3,105.4
São Domingos do Maranhão,2110708,MA,871.1,18.8,328.7,2.8,0.8,117.6,0
Vale do Paraíso,1101807,RO,868.3,0.1,100.5,0,0,3.6,0.6
Santa Luzia do Paruá,2110039,MA,867,0.2,15.5,1,0.4,30.1,0
Porto Alegre do Norte,5106778,MT,866.1,2.9,665,0,0,2450.9,0
Itapuã do Oeste,1101104,RO,865.5,3.1,3056.6,0,0.3,2.5,206.1
Epitaciolândia,1200252,AC,863,4.7,838.5,0,8.3,0.1,0.1
Pequizeiro,1716653,TO,842.3,0.4,66.7,0,0,303,0
Capixaba,1200179,AC,837.8,3.9,920.6,0,6.6,0,0
Araguaiana,5101001,MT,832.4,0.2,486,0,16,5071,15.6
Rondonópolis,5107602,MT,825,0.7,272.4,0,0,3062.9,5.7
Nova Olinda,1714880,TO,823.1,0.1,17.5,0,0.7,938.7,0
Palestina do Pará,1505494,PA,812.1,4.3,143.8,0,0.2,0.3,29.6
Belterra,1501451,PA,804.8,4.3,2849.4,146.2,0.4,0,603.2
Dom Aquino,5103601,MT,801.7,0.2,48,0,0,1357.3,0
Cerejeiras,1100056,RO,798.7,1,760.3,0,0,1245,0
Guajará,1301654,AM,786.5,10.2,8294.2,27.7,0.9,272.7,7
Nova Xavantina,5106257,MT,786.2,4.8,267.2,0,0,4446.8,26.8
Manacapuru,1302504,AM,782.7,10.9,4184.1,190,0.6,803.1,1420.5
Barreirinha,1300508,AM,776.2,13.8,3616.1,0.9,0.7,407.7,957.4
Coari,1301209,AM,765.5,6.9,49345,5135.8,2.5,822.4,2762.8
Piraquê,1717206,TO,764.6,1,88,0,0.2,73.2,0
Tucuruí,1508100,PA,755.2,37.3,850,0,0.6,4.7,483.5
Maranhãozinho,2106375,MA,755,0.5,115.1,93.9,0,0,0
Araguanã,2100873,MA,754.1,0,38.9,17,0,0,0
Colméia,1716703,TO,753,0.2,20.6,0,0.5,220.9,0
Oeiras do Pará,1505205,PA,752.4,57.1,2439.2,1,0.2,376.4,293.8
Pio XII,2108702,MA,749,0,0,0,0,46.8,32.3
Alto Alegre,1400050,RR,744.4,6.9,5230.5,17074.8,117,2606.2,97.1
Novo Horizonte do Oeste,1100502,RO,742.3,0.4,96.6,8.5,0,4.6,0
Araguanã,1702158,TO,742.2,0.3,68.1,0,0,12.4,14.3
Figueirópolis d'Oeste,5103809,MT,736.6,0.1,45.4,0,0,111,0
Novo Horizonte do Norte,5106273,MT,734.4,0.1,197.9,0.1,0,0,7.6
Augusto Corrêa,1500909,PA,731.1,0.1,255.2,33.9,0,4.7,76.1
Iracema,1400282,RR,725.9,32.7,5750.9,7658.4,94.1,35.4,6.3
Presidente Dutra,2109106,MA,725.2,2.5,79.6,0,0.1,0.1,0
Marajá do Sena,2106359,MA,719.5,3.4,113.5,0,0,0,0
Castanheiras,1100908,RO,718.8,0,154,25.4,0,0.6,2.2
Presidente Figueiredo,1303536,AM,717.6,9.3,15626.9,5796.7,5,1.1,3419.7
São Francisco do Brejão,2110856,MA,713.4,0.3,37.6,0,0,0,0
Lagoa Grande do Maranhão,2105963,MA,711.8,0.9,30.1,0,0.1,0,0
Ministro Andreazza,1101203,RO,711.5,0.2,93.5,0,0,0,0
Cruzeiro do Sul,1200203,AC,708,22.1,7417.9,188.4,37.4,0.3,0
Vale de São Domingos,5108352,MT,697,0.8,500.6,0,0.2,809.2,0
Nova União,1101435,RO,694.9,0.3,116,0,0.1,4,0
Abaetetuba,1500107,PA,689.4,3.8,495.6,6.7,0,13.7,411.6
Igarapé-Açu,1503200,PA,686.9,0.6,54.5,41.8,0.2,5.6,0
Jaciara,5104807,MT,686.6,0,11.3,0,0,959.1,0
Urupá,1101708,RO,685.8,0.2,55.6,0,0,98.6,0
Envira,1301506,AM,684.5,16.9,13077.4,53.5,6.3,0.1,82.2
Mirinzal,2106805,MA,682.5,0,4.3,9.9,0,0,0.3
Senador José Porfírio,1507805,PA,681.7,28.7,11193.8,2040.3,1.2,85.2,385.8
Senador La Rocque,2111763,MA,679.5,1.3,71.4,0,0.1,0,0
Buritirana,2102358,MA,677.8,4.7,132.7,0,0.2,14.3,0
Altamira do Maranhão,2100402,MA,677.5,0,0,0,0,0,0
Humaitá,1301704,AM,675,7.9,28565.8,282.2,2.7,3122.1,783.2
Santa Rita do Trivelato,5107768,MT,666,4.3,687.4,0,0,1993.6,0
Colinas do Tocantins,1705508,TO,662.8,0,4.2,0,0.5,180.5,0
Jenipapo dos Vieiras,2105476,MA,662.5,6.1,687.4,0,0,172.1,0
