"NOM_MUNICI" "COD_MUNICI" "count"
"352" "LIZARDA" "1712405" 4
"353" "LUZINOPOLIS" "1712454" 3
"354" "MARIANOPOLIS DO TOCANTINS" "1712504" 6
"355" "MATEIROS" "1712702" 16
"356" "MAURILANDIA DO TOCANTINS" "1712801" 2
"357" "MIRACEMA DO TOCANTINS" "1713205" 50
"358" "MIRANORTE" "1713304" 30
"359" "MONTE DO CARMO" "1713601" 8
"360" "MONTE SANTO DO TOCANTINS" "1713700" 2
"361" "PALMEIRAS DO TOCANTINS" "1713809" 11
"362" "MURICILANDIA" "1713957" 6
"363" "NATIVIDADE" "1714203" 13
"364" "NAZARE" "1714302" 2
"365" "NOVA OLINDA" "1714880" 20
"366" "NOVA ROSALANDIA" "1715002" 4
"367" "NOVO ACORDO" "1715101" 9
"368" "OLIVEIRA DE FATIMA" "1715507" 2
"369" "PALMEIRANTE" "1715705" 9
"370" "PALMEIROPOLIS" "1715754" 8
"371" "PARAISO DO TOCANTINS" "1716109" 150
"372" "PARANA" "1716208" 30
"373" "PAU D'ARCO" "1716307" 10
"374" "PEDRO AFONSO" "1716505" 19
"375" "PEIXE" "1716604" 110
"376" "COLMEIA" "1716703" 14
"377" "PINDORAMA DO TOCANTINS" "1717008" 17
"378" "PIRAQUE" "1717206" 3
"379" "PIUM" "1717503" 23
"380" "PONTE ALTA DO BOM JESUS" "1717800" 10
"381" "PONTE ALTA DO TOCANTINS" "1717909" 21
"382" "PORTO NACIONAL" "1718204" 98
"383" "PRAIA NORTE" "1718303" 8
"384" "PRESIDENTE KENNEDY" "1718402" 1
"385" "PUGMIL" "1718451" 1
"386" "RECURSOLANDIA" "1718501" 1
"387" "RIO DA CONCEICAO" "1718659" 4
"388" "RIO DOS BOIS" "1718709" 7
"389" "RIO SONO" "1718758" 9
"390" "SAMPAIO" "1718808" 4
"391" "SANDOLANDIA" "1718840" 20
"392" "SANTA FE DO ARAGUAIA" "1718865" 15
"393" "SANTA MARIA DO TOCANTINS" "1718881" 8
"394" "SANTA RITA DO TOCANTINS" "1718899" 4
"395" "SANTA ROSA DO TOCANTINS" "1718907" 15
"396" "SANTA TEREZA DO TOCANTINS" "1719004" 3
"397" "SAO BENTO DO TOCANTINS" "1720101" 1
"398" "SAO FELIX DO TOCANTINS" "1720150" 1
"399" "SAO MIGUEL DO TOCANTINS" "1720200" 2
"400" "SAO SALVADOR DO TOCANTINS" "1720259" 23
"401" "SAO SEBASTIAO DO TOCANTINS" "1720309" 2
"402" "SAO VALERIO DA NATIVIDADE" "1720499" 14
"403" "SILVANOPOLIS" "1720655" 8
"404" "SUCUPIRA" "1720853" 3
"405" "TAGUATINGA" "1720903" 19
"406" "TAIPAS DO TOCANTINS" "1720937" 5
"407" "TALISMA" "1720978" 3
"408" "PALMAS" "1721000" 141
"409" "TOCANTINIA" "1721109" 10
"410" "TOCANTINOPOLIS" "1721208" 4
"411" "TUPIRAMA" "1721257" 6
"412" "TUPIRATINS" "1721307" 5
"413" "WANDERLANDIA" "1722081" 11
"414" "XAMBIOA" "1722107" 7
"415" "ACAILANDIA" "2100055" 185
"416" "ALTO PARNAIBA" "2100501" 1
"417" "AMARANTE DO MARANHAO" "2100600" 69
"418" "ARAGUANA" "2100873" 3
"419" "ARAME" "2100956" 15
"420" "BACABEIRA" "2101251" 2
"421" "BALSAS" "2101400" 3
"422" "BARRA DO CORDA" "2101608" 53
"423" "BENEDITO LEITE" "2101806" 1
"424" "BOM JARDIM" "2102002" 11
"425" "BOM JESUS DAS SELVAS" "2102036" 18
"426" "BURITICUPU" "2102325" 98
"427" "BURITIRANA" "2102358" 11
"428" "CAMPESTRE DO MARANHAO" "2102556" 3
"429" "CAROLINA" "2102804" 13
"430" "CARUTAPERA" "2102903" 11
"431" "CENTRO DO GUILHERME" "2103158" 27
"432" "CENTRO NOVO DO MARANHAO" "2103174" 57
"433" "CHAPADINHA" "2103208" 1
